,Event,Person
0,Three Amigos Talk 3.0,андрей гирин
0,Three Amigos Talk 3.0,айдар зарифуллин
0,Дизайн-менеджмент. UX-Марафон #18. Видео-запись,юрий ветров
0,Курс Apple: Разработка мобильных приложений для iOS на языке Swift на Mac,денис быструев
0,Видео запись. Банковский продакт-дизайн. Онлайн-конференция UX-Марафон #16,игорь николаев
0,What is UX? Международная онлайн-конференция UX-Марафон #13,вшби умный
0,Видео-запись. Инженерная психология. Онлайн-конференция UX-Марафон #12. Корпоративное участие,александр постовалов
0,Видео-запись. Инженерная психология. Онлайн-конференция UX-Марафон #12. Корпоративное участие,виталий мазуревич
0,Видео-запись. Инженерная психология. Онлайн-конференция UX-Марафон #12. Корпоративное участие,анаит бадалян
0,Видео-запись. Инженерная психология. Онлайн-конференция UX-Марафон #12. Корпоративное участие,дарья пархоменко
0,Видео-запись. Инженерная психология. Онлайн-конференция UX-Марафон #12. Корпоративное участие,юрий марков
0,Видео-запись. Инженерная психология. Онлайн-конференция UX-Марафон #12. Корпоративное участие,дмитрий сатин
0,Инженерная психология. Онлайн-конференция UX-Марафон #12. Видео-запись,александр постовалов
0,Инженерная психология. Онлайн-конференция UX-Марафон #12. Видео-запись,виталий мазуревич
0,Инженерная психология. Онлайн-конференция UX-Марафон #12. Видео-запись,анаит бадалян
0,Инженерная психология. Онлайн-конференция UX-Марафон #12. Видео-запись,дарья пархоменко
0,Инженерная психология. Онлайн-конференция UX-Марафон #12. Видео-запись,юрий марков
0,Инженерная психология. Онлайн-конференция UX-Марафон #12. Видео-запись,дмитрий сатин
0,Видео-запись. Аналитика поведения пользователей. Онлайн-конференция UX-Марафон,елена пяткова
0,Видео-запись. Аналитика поведения пользователей. Онлайн-конференция UX-Марафон,дмитрия сатина
0,Видео-запись. Аналитика поведения пользователей. Онлайн-конференция UX-Марафон,александр кулачиков
0,Видео-запись. Аналитика поведения пользователей. Онлайн-конференция UX-Марафон,сергей никольский
0,Видео-запись. Аналитика поведения пользователей. Онлайн-конференция UX-Марафон,евгений гапон
0,Видео-запись. Аналитика поведения пользователей. Онлайн-конференция UX-Марафон,ольга мазаева
0,Видео-запись. Аналитика поведения пользователей. Онлайн-конференция UX-Марафон,дмитрий сатин
0,Видео-запись. Аналитика поведения пользователей. Онлайн-конференция UX-Марафон,виталий черемисинов
0,Видео-запись. Юзабилити-тестирование. Онлайн-конференция UX-Марафон,марин суслов
0,Видео-запись. Юзабилити-тестирование. Онлайн-конференция UX-Марафон,вероника лутфуллина
0,Видео-запись. Юзабилити-тестирование. Онлайн-конференция UX-Марафон,дарья куликова
0,Видео-запись. Юзабилити-тестирование. Онлайн-конференция UX-Марафон,мерлена леруа
0,Видео-запись. Юзабилити-тестирование. Онлайн-конференция UX-Марафон,максим козлов
0,Видео-запись. Юзабилити-тестирование. Онлайн-конференция UX-Марафон,дмитрий сатин
0,Видео-запись. Юзабилити-тестирование. Онлайн-конференция UX-Марафон,сергей комарденков
0,Видео-запись. Юзабилити-тестирование. Онлайн-конференция UX-Марафон,алин ермаков
0,"Осенняя UX-конференция, 2016 (РШСД)",екатерина торопова
0,"Осенняя UX-конференция, 2016 (РШСД)",анастасий попов
0,"Осенняя UX-конференция, 2016 (РШСД)",дин чикунов
0,"Осенняя UX-конференция, 2016 (РШСД)",дмитрий сатин
0,"Осенняя UX-конференция, 2016 (РШСД)",павел манахов
0,"Осенняя UX-конференция, 2016 (РШСД)",алексей бородкин
0,"Осенняя UX-конференция, 2016 (РШСД)",артём геллер
0,Data Integration Customer Summit,мария трофимова
0,Data Integration Customer Summit,джефф поллок
0,Data Integration Customer Summit,дарья алешкова
0,Data Integration Customer Summit,александр рындин
0,Data Integration Customer Summit,сергей афонин
0,Data Integration Customer Summit,александр кириленко
0,Jedi.QA - освой профессию тестировщика программного обеспечения за два месяца и устройся на работу,михаил семенов
0,"Soft Skills. Лекция первая ""Профессиональное выгорание""",ольга фидря
0,Открытый урок Digital Banana по разработке сайтов!,антон волков
0,Moscow Apache Ignite® Meetup #8,фёдор логинов
0,Moscow Apache Ignite® Meetup #8,алексей беднов
0,Moscow Apache Ignite® Meetup #8,руслан камашев
0,Burning Lead Meetup #10,николай букаринов
0,Burning Lead Meetup #10,вадим мордберг
0,Open DGTL Design Community Meetup,татьяна пинчук
0,"Лекция «Цифровой этикет, или Как не бесить друг друга интернете»",ольга лукинова
0,"Лекция «Цифровой этикет, или Как не бесить друг друга интернете»",ольга лукиновая
0,QoS-IT meetup#02.20,александр гиманатулин
0,Movavi teacher's meet-up,влад насонов
0,Movavi teacher's meet-up,мария зяблицкая
0,"""SMM-политология 4.1"" ",денис горбунов
0,"""SMM-политология 4.1"" ",элла памфилова
0,"""SMM-политология 4.1"" ",дарья пащенко
0,"""SMM-политология 4.1"" ",эдуард атаманов
0,"""SMM-политология 4.1"" ",алекс волков
0,"""SMM-политология 4.1"" ",елена довбах
0,"""SMM-политология 4.1"" ",светлана гагарина
0,"""SMM-политология 4.1"" ",екатерина анисимова
0,"""SMM-политология 4.1"" ",сергей иванов
0,"""SMM-политология 4.1"" ",виталий ермолаев
0,"""SMM-политология 4.1"" ",сергей петушкеев
0,"""SMM-политология 4.1"" ",яна рыжая
0,"Оффлайн-курс из 6 воркшопов по Customer Development и проверке гипотез, двенадцатый поток в Москве",иван замесин
0,"Открытый вебинар ""Как разработать успешный цифровой продукт?""",никита бабин
0,Product MindSet Novosibirsk Meetup #4,антон ахтямов
0,Product MindSet Novosibirsk Meetup #4,андрей гаврилов
0,"MERA Meetup #40: ""Перепишите это немедленно""",александр ганюхин
0,Java MeetUp JUG.EKB,павел финкельштейн
0,Java MeetUp JUG.EKB,владимир тарасов
0,ML REPA Meetup #5: Experimental tools and A/B experiments in Machine Learning,андрей гуревич
0,ML REPA Meetup #5: Experimental tools and A/B experiments in Machine Learning,михаил рожков
0,MeetUp “E-commerce marketing”,ольга бойкова
0,MeetUp “E-commerce marketing”,полина тронина
0,MeetUp “E-commerce marketing”,ганфарит романа
0,Digital Pain: менеджмент,олег чулаков
0,Digital Pain: менеджмент,вячеслав снитко
0,Digital Pain: менеджмент,ольга токаренко
0,Digital Pain: менеджмент,виктор немудров
0,Digital Pain: менеджмент,юрий андреев
0,GameDev in Kazan 2020,сергей лерг
0,GameDev in Kazan 2020,алексей сойер
0,GameDev in Kazan 2020,антон бравин
0,GameDev in Kazan 2020,евгения таранец
0,GameDev in Kazan 2020,антон скударнов
0,GameDev in Kazan 2020,виталий абрамов
0,GameDev in Kazan 2020,мария кочакова
0,GameDev in Kazan 2020,александр сенченко
0,PHP митап #2,антон морёв
0,PHP митап #2,сергей жук
0,Design Update 3.1: Давно в дизайне,антон калмык
0,Design Update 3.1: Давно в дизайне,никита коновалов
0,Design Update 3.1: Давно в дизайне,дмитрий карпов
0,Встреча SpbDotNet №58,роман щербаков
0,Встреча SpbDotNet №58,роман лиман
0,Встреча SpbDotNet №58,лев толстой
0,Встреча SpbDotNet №58,дмитрий елисеев
0,Конференция-встреча «Digital Learning 2020»,олег замышляев
0,Мастер- класс «Ускоряем внешние и внутренние коммуникации»,максим максименко
0,Мастер- класс «Ускоряем внешние и внутренние коммуникации»,юрий москвин
0,BIM на практике 2020,инна холидея
0,DevTalks 2020 #1 by JUG.SEV,егор рогов
0,DevTalks 2020 #1 by JUG.SEV,николай устинов
0,"Интенсив-воркшоп «Customer Journey Mapping&Construction», РШСД",сергей петров
0,"Интенсив-воркшоп «Customer Journey Mapping&Construction», РШСД",фёдор аксёнов
0,"III общероссийская конференция ""Политический маркетинг в интернете и социальных сетях. Опыт лидеров.”",константин кошелев
0,"III общероссийская конференция ""Политический маркетинг в интернете и социальных сетях. Опыт лидеров.”",элла памфилова
0,"III общероссийская конференция ""Политический маркетинг в интернете и социальных сетях. Опыт лидеров.”",данил тренд
0,"III общероссийская конференция ""Политический маркетинг в интернете и социальных сетях. Опыт лидеров.”",михаил назаров
0,"III общероссийская конференция ""Политический маркетинг в интернете и социальных сетях. Опыт лидеров.”",ермолаев иркутский
0,"III общероссийская конференция ""Политический маркетинг в интернете и социальных сетях. Опыт лидеров.”",григорий данилов
0,"III общероссийская конференция ""Политический маркетинг в интернете и социальных сетях. Опыт лидеров.”",виталий вышкварцев
0,"III общероссийская конференция ""Политический маркетинг в интернете и социальных сетях. Опыт лидеров.”",виталий ермолаев
0,"III общероссийская конференция ""Политический маркетинг в интернете и социальных сетях. Опыт лидеров.”",екатерина анисимова
0,"III общероссийская конференция ""Политический маркетинг в интернете и социальных сетях. Опыт лидеров.”",лилия лазарева
0,"III общероссийская конференция ""Политический маркетинг в интернете и социальных сетях. Опыт лидеров.”",денис долженко
0,"III общероссийская конференция ""Политический маркетинг в интернете и социальных сетях. Опыт лидеров.”",илья лисняк
0,"III общероссийская конференция ""Политический маркетинг в интернете и социальных сетях. Опыт лидеров.”",александр серавин
0,"III общероссийская конференция ""Политический маркетинг в интернете и социальных сетях. Опыт лидеров.”",рузанна абаджян
