"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","MLN_USD","A","1960",25036.1668,
"AUS","GDP","TOT","MLN_USD","A","1961",25326.3822,
"AUS","GDP","TOT","MLN_USD","A","1962",27913.2057,
"AUS","GDP","TOT","MLN_USD","A","1963",30385.7232,
"AUS","GDP","TOT","MLN_USD","A","1964",32695.8783,
"AUS","GDP","TOT","MLN_USD","A","1965",34489.925,
"AUS","GDP","TOT","MLN_USD","A","1966",38285.3106,
"AUS","GDP","TOT","MLN_USD","A","1967",41004.0159,
"AUS","GDP","TOT","MLN_USD","A","1968",46488.4352,
"AUS","GDP","TOT","MLN_USD","A","1969",52131.9371,
"AUS","GDP","TOT","MLN_USD","A","1970",58750.172,
"AUS","GDP","TOT","MLN_USD","A","1971",64018.2477,
"AUS","GDP","TOT","MLN_USD","A","1972",69677.6103,
"AUS","GDP","TOT","MLN_USD","A","1973",78695.4314,
"AUS","GDP","TOT","MLN_USD","A","1974",86163.9941,
"AUS","GDP","TOT","MLN_USD","A","1975",96673.7076,
"AUS","GDP","TOT","MLN_USD","A","1976",104092.1872,
"AUS","GDP","TOT","MLN_USD","A","1977",110072.1913,
"AUS","GDP","TOT","MLN_USD","A","1978",123107.2843,
"AUS","GDP","TOT","MLN_USD","A","1979",137717.2531,
"AUS","GDP","TOT","MLN_USD","A","1980",154738.1154,
"AUS","GDP","TOT","MLN_USD","A","1981",177951.7292,
"AUS","GDP","TOT","MLN_USD","A","1982",181588.7905,
"AUS","GDP","TOT","MLN_USD","A","1983",196153.1194,
"AUS","GDP","TOT","MLN_USD","A","1984",211239.3271,
"AUS","GDP","TOT","MLN_USD","A","1985",228858.2094,
"AUS","GDP","TOT","MLN_USD","A","1986",239016.7261,
"AUS","GDP","TOT","MLN_USD","A","1987",260839.5444,
"AUS","GDP","TOT","MLN_USD","A","1988",282262.68,
"AUS","GDP","TOT","MLN_USD","A","1989",299130.5471,
"AUS","GDP","TOT","MLN_USD","A","1990",303508.4035,
"AUS","GDP","TOT","MLN_USD","A","1991",313400.9713,
"AUS","GDP","TOT","MLN_USD","A","1992",333999.4092,
"AUS","GDP","TOT","MLN_USD","A","1993",355049.7793,
"AUS","GDP","TOT","MLN_USD","A","1994",380411.0991,
"AUS","GDP","TOT","MLN_USD","A","1995",402823.5083,
"AUS","GDP","TOT","MLN_USD","A","1996",423447.1633,
"AUS","GDP","TOT","MLN_USD","A","1997",449773.2375,
"AUS","GDP","TOT","MLN_USD","A","1998",477413.9231,
"AUS","GDP","TOT","MLN_USD","A","1999",509779.8682,
"AUS","GDP","TOT","MLN_USD","A","2000",537761.3282,
"AUS","GDP","TOT","MLN_USD","A","2001",567709.0249,
"AUS","GDP","TOT","MLN_USD","A","2002",599301.22,
"AUS","GDP","TOT","MLN_USD","A","2003",635085.0712,
"AUS","GDP","TOT","MLN_USD","A","2004",675451.92,
"AUS","GDP","TOT","MLN_USD","A","2005",717705.0792,
"AUS","GDP","TOT","MLN_USD","A","2006",774327.4315,
"AUS","GDP","TOT","MLN_USD","A","2007",825040.7301,
"AUS","GDP","TOT","MLN_USD","A","2008",851983.1297,
"AUS","GDP","TOT","MLN_USD","A","2009",902670.5116,
"AUS","GDP","TOT","MLN_USD","A","2010",943228.4205,
"AUS","GDP","TOT","MLN_USD","A","2011",992327.3798,
"AUS","GDP","TOT","MLN_USD","A","2012",997527.3466,
"AUS","GDP","TOT","MLN_USD","A","2013",1104626.1349,
"AUS","GDP","TOT","MLN_USD","A","2014",1118350.267,
"AUS","GDP","TOT","MLN_USD","A","2015",1127712.5423,
"AUS","GDP","TOT","MLN_USD","A","2016",1215897.6861,
"AUS","GDP","TOT","MLN_USD","A","2017",1279147.3915,
"AUS","GDP","TOT","USD_CAP","A","1960",2409.195491,
"AUS","GDP","TOT","USD_CAP","A","1961",2379.705491,
"AUS","GDP","TOT","USD_CAP","A","1962",2573.580478,
"AUS","GDP","TOT","USD_CAP","A","1963",2748.475664,
"AUS","GDP","TOT","USD_CAP","A","1964",2898.460541,
"AUS","GDP","TOT","USD_CAP","A","1965",2997.714205,
"AUS","GDP","TOT","USD_CAP","A","1966",3270.894847,
"AUS","GDP","TOT","USD_CAP","A","1967",3442.171342,
"AUS","GDP","TOT","USD_CAP","A","1968",3827.600452,
"AUS","GDP","TOT","USD_CAP","A","1969",4201.74299,
"AUS","GDP","TOT","USD_CAP","A","1970",4639.342662,
"AUS","GDP","TOT","USD_CAP","A","1971",4850.462534,
"AUS","GDP","TOT","USD_CAP","A","1972",5196.219988,
"AUS","GDP","TOT","USD_CAP","A","1973",5780.332232,
